Anti_muon_px,Anti_muon_py,Anti_muon_pz,Muon_px,Muon_py,Muon_pz
-478.7052143209239,94.14958514534437,-109.4402228338272,478.7052143209239,-94.14958514534437,109.4402228338272
114.63564292049008,17.81663552377073,-486.3550409380157,-114.63564292049008,-17.81663552377073,486.3550409380157
-410.0727413809836,-65.77071255190296,278.4143479091907,410.0727413809836,65.77071255190296,-278.4143479091907
126.00132935868034,357.74717619892175,325.7922833594175,-126.00132935868034,-357.74717619892175,-325.7922833594175
44.414312657249674,5.438436417480007,-497.99375620133736,-44.414312657249674,-5.438436417480007,497.99375620133736
313.0750274559021,-78.37910753436982,381.89099447434177,-313.0750274559021,78.37910753436982,-381.89099447434177
435.26797858191605,47.56415272224813,241.41132362013872,-435.26797858191605,-47.56415272224813,-241.41132362013872
-78.60153633668823,11.679300886918988,-493.64499530665256,78.60153633668823,-11.679300886918988,493.64499530665256
-328.97943934041604,-191.25600359607049,-324.33571890053264,328.97943934041604,191.25600359607049,324.33571890053264
78.42352458531205,40.80259682974973,492.122838180231,-78.42352458531205,-40.80259682974973,-492.122838180231
-138.30104793884985,-470.7466695207266,96.28282426871236,138.30104793884985,470.7466695207266,-96.28282426871236
460.5602489403641,-46.77725857778743,188.93420587849272,-460.5602489403641,46.77725857778743,-188.93420587849272
-125.43642277490137,-423.06240413936166,235.12527516253886,125.43642277490137,423.06240413936166,-235.12527516253886
-80.62520513090607,476.2206396294507,-129.28057728644328,80.62520513090607,-476.2206396294507,129.28057728644328
359.67625237264514,325.6749472500123,-120.70133051408733,-359.67625237264514,-325.6749472500123,120.70133051408733
75.86492738528338,279.85790222542,407.3377668837164,-75.86492738528338,-279.85790222542,-407.3377668837164
293.5459230952966,-276.994494000851,295.1352745815768,-293.5459230952966,276.994494000851,-295.1352745815768
421.7941405192777,-230.5567813478666,-137.59819247764784,-421.7941405192777,230.5567813478666,137.59819247764784
-474.93575054225596,-156.2021539069242,-6.075273384925968,474.93575054225596,156.2021539069242,6.075273384925968
-121.5347030921674,-199.85126312361112,441.91489853499604,121.5347030921674,199.85126312361112,-441.91489853499604
-424.60038930231855,262.9038874114626,24.41401980953671,424.60038930231855,-262.9038874114626,-24.41401980953671
211.6657273154887,-47.386172215748424,-450.5021193487824,-211.6657273154887,47.386172215748424,450.5021193487824
101.58859639946671,-350.2598167329962,-342.0494216319538,-101.58859639946671,350.2598167329962,342.0494216319538
109.50104034849033,-350.9177722314253,338.919206109261,-109.50104034849033,350.9177722314253,-338.919206109261
-398.67630357605,-97.63096700364376,-285.52651054476644,398.67630357605,97.63096700364376,285.52651054476644
