CoM_AntiMuon_px,CoM_AntiMuon_py,CoM_AntiMuon_pz,CoM_Muon_px,CoM_Muon_py,CoM_Muon_pz
5.172676910884372e-05,-3.9566718334695255e-05,0.023120069883894336,-5.172676910884372e-05,3.9566718334695255e-05,-0.023120069883894336
0.00016529886565252408,3.643550987921984e-05,0.023119541979862702,-0.00016529886565252408,-3.643550987921984e-05,-0.023119541979862702
-0.00013093744695556004,8.982656843091414e-05,0.023119616328836183,0.00013093744695556004,-8.982656843091414e-05,-0.023119616328836183
-3.2648930801041105e-05,-0.0004443126892745491,0.02311586885456541,3.2648930801041105e-05,0.0004443126892745491,-0.02311586885456541
-0.0002960723282169549,-0.0005926352712755011,0.023110668472194923,0.0002960723282169549,0.0005926352712755011,-0.023110668472194923
-0.0001610014701976715,-1.4211043949107447e-05,0.023119596648575512,0.0001610014701976715,1.4211043949107447e-05,-0.023119596648575512
-0.00024274496784534494,0.00010704866895259329,0.023118639408128264,0.00024274496784534494,-0.00010704866895259329,-0.023118639408128264
0.00032715067467540046,-0.0004510519101090347,0.023113446243051824,-0.00032715067467540046,0.0004510519101090347,-0.023113446243051824
0.00035321448418820903,-3.920208015612063e-05,0.02311743011982671,-0.00035321448418820903,3.920208015612063e-05,-0.02311743011982671
-0.000210193311800512,0.00012028639690079284,0.02311889319527202,0.000210193311800512,-0.00012028639690079284,-0.02311889319527202
0.0002380268734742096,1.6313425358660886e-05,0.023118930548354896,-0.0002380268734742096,-1.6313425358660886e-05,-0.023118930548354896
-1.1357233460495971e-06,1.2079359234635756e-05,0.02312015842115302,1.1357233460495971e-06,-1.2079359234635756e-05,-0.02312015842115302
-3.47526285143413e-05,0.00028236994731407623,0.023118411106468048,3.47526285143413e-05,-0.00028236994731407623,-0.023118411106468048
0.00010273143960625268,-0.00010070422504045764,0.0231197140451688,-0.00010273143960625268,0.00010070422504045764,-0.0231197140451688
0.0001536493073488858,0.0003892235712281481,0.023116374489135436,-0.0001536493073488858,-0.0003892235712281481,-0.023116374489135436
-9.894625360437743e-05,-0.0005195029286849774,0.023114112549825167,9.894625360437743e-05,0.0005195029286849774,-0.023114112549825167
7.681357273420907e-06,-0.00019940386265653216,0.023119300415806444,-7.681357273420907e-06,0.00019940386265653216,-0.023119300415806444
-0.0004184267266902432,-0.00012630547905127207,0.023116029906113916,0.0004184267266902432,0.00012630547905127207,-0.023116029906113916
-1.3155797231602501e-05,0.00010221623438502606,0.023119931907045647,1.3155797231602501e-05,-0.00010221623438502606,-0.023119931907045647
-0.000146255359035848,0.000165671250607773,0.0231191054114703,0.000146255359035848,-0.000165671250607773,-0.0231191054114703
-1.4189914948971173e-05,-5.9671901924060677e-05,0.02312008024489609,1.4189914948971173e-05,5.9671901924060677e-05,-0.02312008024489609
-0.0001469435703619576,4.2218322434767045e-05,0.023119656092173604,0.0001469435703619576,-4.2218322434767045e-05,-0.023119656092173604
0.0001688084979871012,-1.0502884672514192e-05,0.023119542945318382,-0.0001688084979871012,1.0502884672514192e-05,-0.023119542945318382
-0.00025341754174250934,0.00026285777249655096,0.02311727834242118,0.00025341754174250934,-0.00026285777249655096,-0.02311727834242118
0.0003920461879703027,0.00035731427619785464,0.023114075774612386,-0.0003920461879703027,-0.00035731427619785464,-0.023114075774612386
0.000958808359143138,-0.0005274706981113815,0.02309424893372961,-0.000958808359143138,0.0005274706981113815,-0.02309424893372961
-0.0006126089528086477,-0.000669985578018957,0.023102331099180994,0.0006126089528086477,0.000669985578018957,-0.023102331099180994
0.0011500560841698026,-0.00013217322816334883,0.023091162245781845,-0.0011500560841698026,0.00013217322816334883,-0.023091162245781845
-2.1157866882681623e-05,-0.0010215295834377044,0.02309757351487014,2.1157866882681623e-05,0.0010215295834377044,-0.02309757351487014
-0.00023944036090730496,0.0011659430567316788,0.023089502327292108,0.00023944036090730496,-0.0011659430567316788,-0.023089502327292108
0.0002683518232785058,-0.0011681034281534105,0.023089075215349777,-0.0002683518232785058,0.0011681034281534105,-0.023089075215349777
-1.378030398077272e-05,-0.000811080380471566,0.02310592632507159,1.378030398077272e-05,0.000811080380471566,-0.02310592632507159
-0.0007682561887077008,-0.0010197685791602463,0.02308488092006259,0.0007682561887077008,0.0010197685791602463,-0.02308488092006259
-0.0007675463913589508,-0.00033084877794122653,0.023105048890734826,0.0007675463913589508,0.00033084877794122653,-0.023105048890734826
0.0007491329612468033,0.0007579534864037053,0.023095587867357308,-0.0007491329612468033,-0.0007579534864037053,-0.023095587867357308
0.00043440037431757866,-0.0009272472853103063,0.02309747565009383,-0.00043440037431757866,0.0009272472853103063,-0.02309747565009383
-0.0007587158712207434,-0.0007243634382843826,0.023096352968727217,0.0007587158712207434,0.0007243634382843826,-0.023096352968727217
-0.0010081899187446997,0.0010192401381509213,0.023075670634859644,0.0010081899187446997,-0.0010192401381509213,-0.023075670634859644
0.0013044408075323654,-0.00030466390608959674,0.023081323330865815,-0.0013044408075323654,0.00030466390608959674,-0.023081323330865815
0.0003144320458779627,-0.0006631381028725957,0.02310851040125788,-0.0003144320458779627,0.0006631381028725957,-0.02310851040125788
-0.001163719953839294,-0.0008143559345004123,0.02307649134727765,0.001163719953839294,0.0008143559345004123,-0.02307649134727765
0.0005176081946824681,-0.0006721093181379386,0.02310459312433936,-0.0005176081946824681,0.0006721093181379386,-0.02310459312433936
0.0007780353426257934,-0.00011155046407123352,0.023106797487310753,-0.0007780353426257934,0.00011155046407123352,-0.023106797487310753
0.0010121567426463905,-0.00034314858001296354,0.023095446746065566,-0.0010121567426463905,0.00034314858001296354,-0.023095446746065566
0.0007952923060926603,-0.0008991402740528535,0.02308897852949424,-0.0007952923060926603,0.0008991402740528535,-0.02308897852949424
0.0005334640387670941,-0.0012149738107618347,0.023082052061688646,-0.0005334640387670941,0.0012149738107618347,-0.023082052061688646
0.0010967267151054552,-0.0006276708892598499,0.02308560357424405,-0.0010967267151054552,0.0006276708892598499,-0.02308560357424405
-0.00010452019339829594,0.001284677790784529,0.02308420566367916,0.00010452019339829594,-0.001284677790784529,-0.02308420566367916
-0.00043062346562441683,-0.0010753717917332014,0.02309112408611582,0.00043062346562441683,0.0010753717917332014,-0.02309112408611582
0.0013648957473782837,-3.229047828261667e-05,0.023079815630628442,-0.0013648957473782837,3.229047828261667e-05,-0.023079815630628442
-0.0007305642425402549,0.0009176061843956132,0.02309039080219043,0.0007305642425402549,-0.0009176061843956132,-0.02309039080219043
-0.00021011372174813614,0.0007547542269069363,0.023106883625900295,0.00021011372174813614,-0.0007547542269069363,-0.023106883625900295
0.0004924048819979227,-0.0006391226279015613,0.023106079985983966,-0.0004924048819979227,0.0006391226279015613,-0.023106079985983966
-0.0014057324219684663,-0.0003213539272906641,0.02307514941731129,0.0014057324219684663,0.0003213539272906641,-0.02307514941731129
-0.0009253742564374,-0.0004619074284742181,0.02309701705054233,0.0009253742564374,0.0004619074284742181,-0.02309701705054233
-0.0005166792458946727,0.0005482179078683039,0.02310788550045967,0.0005166792458946727,-0.0005482179078683039,-0.02310788550045967
-0.0009243032453002816,-8.06322019005911e-05,0.023101537493828067,0.0009243032453002816,8.06322019005911e-05,-0.023101537493828067
0.0005462317696564924,-0.000823129078788835,0.023099046776728045,-0.0005462317696564924,0.000823129078788835,-0.023099046776728045
0.000974172975997498,0.0008556946108405321,0.023083774525969852,-0.000974172975997498,-0.0008556946108405321,-0.023083774525969852
0.000620963795102267,0.0005633240807869551,0.023104954935363492,-0.000620963795102267,-0.0005633240807869551,-0.023104954935363492
0.00039934487824688455,-0.0011629373264949196,0.0230874418908389,-0.00039934487824688455,0.0011629373264949196,-0.0230874418908389
0.0007489909798233516,-0.0005344275051794752,0.023101845648645713,-0.0007489909798233516,0.0005344275051794752,-0.023101845648645713
-0.0001726814051565831,0.0011107634994780016,0.0230928183251967,0.0001726814051565831,-0.0011107634994780016,-0.0230928183251967
-0.0012122856448697498,0.0003164128403607886,0.023086188924326543,0.0012122856448697498,-0.0003164128403607886,-0.023086188924326543
-0.0006534312960514321,0.0008761897884869858,0.023094310806254677,0.0006534312960514321,-0.0008761897884869858,-0.023094310806254677
-0.0009908341775683133,-0.00042720962975728176,0.023094969412943703,0.0009908341775683133,0.00042720962975728176,-0.023094969412943703
0.0007528312709946376,0.0010835818119678414,0.023082481845637506,-0.0007528312709946376,-0.0010835818119678414,-0.023082481845637506
0.0011852032495902193,0.00010022388665010646,0.023089545709036926,-0.0011852032495902193,-0.00010022388665010646,-0.023089545709036926
-0.0005020163755312978,0.0006580652693569417,0.023105341423142065,0.0005020163755312978,-0.0006580652693569417,-0.023105341423142065
-5.74881008877822e-05,0.0010434661655764445,0.023096531040386854,5.74881008877822e-05,-0.0010434661655764445,-0.023096531040386854
-0.0002753621592505482,-0.0013802418628078015,0.02307728278418856,0.0002753621592505482,0.0013802418628078015,-0.02307728278418856
0.0006574889183064577,0.00042871895935415604,0.023106834075575875,-0.0006574889183064577,-0.00042871895935415604,-0.023106834075575875
-0.0009438332789710844,5.008763087651799e-05,0.023100834240146823,0.0009438332789710844,-5.008763087651799e-05,-0.023100834240146823
-0.0009701272848299361,0.0006548574380671862,0.0230905150961826,0.0009701272848299361,-0.0006548574380671862,-0.0230905150961826
-0.00013955121054478323,-0.0007186792644262058,0.02310856763615,0.00013955121054478323,0.0007186792644262058,-0.02310856763615
0.0007482135346657487,-0.0007246745356643541,0.023096685821647714,-0.0007482135346657487,0.0007246745356643541,-0.023096685821647714
0.00013991253240419678,0.001323957377062171,0.023081798759347134,-0.00013991253240419678,-0.001323957377062171,-0.023081798759347134
-0.0001721081884016524,0.0014206867793102556,0.023075829355985844,0.0001721081884016524,-0.0014206867793102556,-0.023075829355985844
-0.0005325654180446372,0.0006308395174245724,0.02310541685836372,0.0005325654180446372,-0.0006308395174245724,-0.02310541685836372
0.00034596252672411013,-0.0006885817931288965,0.023107315674138224,-0.00034596252672411013,0.0006885817931288965,-0.023107315674138224
-0.0008900767656500618,0.0008678958770742484,0.02308671463673009,0.0008900767656500618,-0.0008678958770742484,-0.02308671463673009
0.0011093613044896686,0.0005673204017251244,0.023086561841856992,-0.0011093613044896686,-0.0005673204017251244,-0.023086561841856992
0.0009072165516970007,0.0006452590169977157,0.023093342580694336,-0.0009072165516970007,-0.0006452590169977157,-0.023093342580694336
0.0008387521955560004,0.0011614656295006415,0.023075731081938413,-0.0008387521955560004,-0.0011614656295006415,-0.023075731081938413
-0.000622850084806491,-0.0004121594569730322,0.023108095009625615,0.000622850084806491,0.0004121594569730322,-0.023108095009625615
0.000615041895192685,-0.0006352693438436307,0.023103247151600365,-0.000615041895192685,0.0006352693438436307,-0.023103247151600365
0.0007042654921381702,-0.0008197449192141182,0.0230948890667179,-0.0007042654921381702,0.0008197449192141182,-0.0230948890667179
0.0007569173529476161,0.0012384205718993725,0.023074558787285687,-0.0007569173529476161,-0.0012384205718993725,-0.023074558787285687
-0.0006819327375870491,-0.0009960696239218634,0.023088626760067545,0.0006819327375870491,0.0009960696239218634,-0.023088626760067545
-0.00041350058024827225,0.0008533061732205465,0.023100709046799364,0.00041350058024827225,-0.0008533061732205465,-0.023100709046799364
-0.0006606957974415723,0.0005144643512636039,0.02310499253656062,0.0006606957974415723,-0.0005144643512636039,-0.02310499253656062
0.001405898986633686,3.554618857273699e-06,0.023077376541194346,-0.001405898986633686,-3.554618857273699e-06,-0.023077376541194346
0.0004483795424262661,0.000958717048149566,0.0230959236669054,-0.0004483795424262661,-0.000958717048149566,-0.0230959236669054
-0.0005098582102133844,0.0012650730074475235,0.023079894009966895,0.0005098582102133844,-0.0012650730074475235,-0.023079894009966895
-0.00011626794846735544,0.0012954187378381768,0.02308354922185531,0.00011626794846735544,-0.0012954187378381768,-0.02308354922185531
-0.0007067936288707677,-0.0004682361105430823,0.023104611451633873,0.0007067936288707677,0.0004682361105430823,-0.023104611451633873
-0.0007763047225683353,0.0004959563325101974,0.023101801897556846,0.0007763047225683353,-0.0004959563325101974,-0.023101801897556846
-0.0005481350490154592,-0.0006798916938957977,0.023103661352102015,0.0005481350490154592,0.0006798916938957977,-0.023103661352102015
0.0009104153492022298,-0.0010564358774746,0.023078062304897295,-0.0009104153492022298,0.0010564358774746,-0.023078062304897295
-0.0007895912603243921,0.0007610947104355289,0.023094136768958617,0.0007895912603243921,-0.0007610947104355289,-0.023094136768958617
-0.0011739933695346229,0.0014233781789575544,0.023046422862300263,0.0011739933695346229,-0.0014233781789575544,-0.023046422862300263
0.0019186245129769995,0.00044521319290024094,0.023036113774052066,-0.0019186245129769995,-0.00044521319290024094,-0.023036113774052066
0.0007843885680346923,-0.0013130857979394273,0.023069512627742837,-0.0007843885680346923,0.0013130857979394273,-0.023069512627742837
6.909715157463204e-05,0.0015002569681272695,0.023071331284371735,-6.909715157463204e-05,-0.0015002569681272695,-0.023071331284371735
0.00045864990654972856,-0.0014428467405321456,0.023070537621966196,-0.00045864990654972856,0.0014428467405321456,-0.023070537621966196
-0.0005090337076740026,-0.0016455513905384695,0.023055908525268495,0.0005090337076740026,0.0016455513905384695,-0.023055908525268495
0.0007020151242675056,0.0016789986914249855,0.02304842751207754,-0.0007020151242675056,-0.0016789986914249855,-0.02304842751207754
-0.00012937688341970932,0.001699636912204605,0.02305724113177264,0.00012937688341970932,-0.001699636912204605,-0.02305724113177264
0.0001347913848087021,0.001587990513162974,0.023065168328730786,-0.0001347913848087021,-0.001587990513162974,-0.023065168328730786
0.000443674456896373,0.001861768379271937,0.02304080823448346,-0.000443674456896373,-0.001861768379271937,-0.02304080823448346
0.001903094461675717,-9.442367899858141e-05,0.02304151011237726,-0.001903094461675717,9.442367899858141e-05,-0.02304151011237726
0.0012407159478555604,0.0011130350911202718,0.023060001072044027,-0.0012407159478555604,-0.0011130350911202718,-0.023060001072044027
-0.001349118340478028,-0.0009625791482322558,0.023060685022496065,0.001349118340478028,0.0009625791482322558,-0.023060685022496065
-0.001131670490275192,0.0011855572209617216,0.023061995763534123,0.001131670490275192,-0.0011855572209617216,-0.023061995763534123
-0.0009408413818173941,-0.001683408300131082,0.023039592587745766,0.0009408413818173941,0.001683408300131082,-0.023039592587745766
-0.0007995473109427586,-0.0017726598891577064,0.023038235037322965,0.0007995473109427586,0.0017726598891577064,-0.023038235037322965
-0.000615369562080802,-0.0018190579124394198,0.023040273896663122,0.000615369562080802,0.0018190579124394198,-0.023040273896663122
0.0005746326835785366,-0.0014551786936504447,0.02306716551439533,-0.0005746326835785366,0.0014551786936504447,-0.02306716551439533
0.001152220033506355,-0.0009083222986704289,0.02307356089155128,-0.001152220033506355,0.0009083222986704289,-0.02307356089155128
-0.0016995166094131596,-0.00019036430531051593,0.023056827130930057,0.0016995166094131596,0.00019036430531051593,-0.023056827130930057
-0.0015841312684622304,-0.0003242985401873437,0.023063547671620527,0.0015841312684622304,0.0003242985401873437,-0.023063547671620527
0.00022416250529247325,-0.0017163346882249088,0.023055277465890905,-0.00022416250529247325,0.0017163346882249088,-0.023055277465890905
0.0013704337170792017,0.0009656170574732401,0.023059301111382567,-0.0013704337170792017,-0.0009656170574732401,-0.023059301111382567
-0.00028726795952297346,-0.0018821974480125161,0.02304162933705268,0.00028726795952297346,0.0018821974480125161,-0.02304162933705268
0.0002595649127611119,0.0019508944993572156,0.023036243385770195,-0.0002595649127611119,-0.0019508944993572156,-0.023036243385770195
0.0012175717532189368,-0.0012896455952968468,0.02305203257598546,-0.0012175717532189368,0.0012896455952968468,-0.02305203257598546
-0.001621280579327374,0.0007564972472797656,0.023050835859420676,0.001621280579327374,-0.0007564972472797656,-0.023050835859420676
-0.0018508617440620683,-0.00020713245959378914,0.023045027219956805,0.0018508617440620683,0.00020713245959378914,-0.023045027219956805
-0.0016508864996745843,0.0007712390206634478,0.02304824584991661,0.0016508864996745843,-0.0007712390206634478,-0.02304824584991661
-0.0007802087054325786,0.0012643978623451161,0.02307237406600509,0.0007802087054325786,-0.0012643978623451161,-0.02307237406600509
-0.0019359378961023245,-0.0007365353491464435,0.023027191160927392,0.0019359378961023245,0.0007365353491464435,-0.023027191160927392
0.001993504702060139,1.6219203369032614e-05,0.023034051935347938,-0.001993504702060139,-1.6219203369032614e-05,-0.023034051935347938
-3.953850428579947e-05,0.0018822263475934162,0.023043383720779898,3.953850428579947e-05,-0.0018822263475934162,-0.023043383720779898
-0.0011810554446874259,0.0009095898821558746,0.023072052940795142,0.0011810554446874259,-0.0009095898821558746,-0.023072052940795142
-0.0019284158604021776,0.0008679403941239979,0.023023244001695267,0.0019284158604021776,-0.0008679403941239979,-0.023023244001695267
0.0020974267200481334,-0.00019468449387377858,0.02302400425038775,-0.0020974267200481334,0.00019468449387377858,-0.02302400425038775
0.0015568523776906952,-0.0003246631434842236,0.023065399999508827,-0.0015568523776906952,0.0003246631434842236,-0.023065399999508827
-0.0012627526930302777,-0.0015942935968940306,0.02303053529953543,0.0012627526930302777,0.0015942935968940306,-0.02303053529953543
-0.0016821664209621615,4.777708568791324e-05,0.023058835749063103,0.0016821664209621615,-4.777708568791324e-05,-0.023058835749063103
0.0014876051214518014,-0.0007373961603485163,0.02306046726597997,-0.0014876051214518014,0.0007373961603485163,-0.02306046726597997
0.0005407752275204248,-0.0016333344482749974,0.023056054592088787,-0.0005407752275204248,0.0016333344482749974,-0.023056054592088787
0.000461803054069684,0.001456914503726586,0.023069590605125246,-0.000461803054069684,-0.001456914503726586,-0.023069590605125246
-0.00013432501018095674,0.001771421323757843,0.023051808950825873,0.00013432501018095674,-0.001771421323757843,-0.023051808950825873
-0.001976648104548425,0.0002812135564077274,0.023033793734998965,0.001976648104548425,-0.0002812135564077274,-0.023033793734998965
0.0016059944658449424,-0.00027541774644675664,0.023062671125882568,-0.0016059944658449424,0.00027541774644675664,-0.023062671125882568
-0.0011151791944154232,0.001218981257020904,0.023061056625388494,0.0011151791944154232,-0.001218981257020904,-0.023061056625388494
0.0012421349480224296,0.0008484844597506097,0.023071173518320717,-0.0012421349480224296,-0.0008484844597506097,-0.023071173518320717
0.00154562001188605,0.0009357017189329437,0.023049455388187444,-0.00154562001188605,-0.0009357017189329437,-0.023049455388187444
-0.0015888701167530253,0.0007702682290091549,0.023052636535274403,0.0015888701167530253,-0.0007702682290091549,-0.023052636535274403
-0.0016729800282705202,-0.0005898838938224288,0.023052007449174936,0.0016729800282705202,0.0005898838938224288,-0.023052007449174936
-0.0006450913448740703,0.0014271364878075785,0.023067054671585985,0.0006450913448740703,-0.0014271364878075785,-0.023067054671585985
-0.00040098310182465016,-0.0016017300014843805,0.02306112629891255,0.00040098310182465016,0.0016017300014843805,-0.02306112629891255
0.0008568044083151502,0.0018266825978300156,0.02303195583342146,-0.0008568044083151502,-0.0018266825978300156,-0.02303195583342146
0.0015218877305499833,0.0009262530495431581,0.02305141613098452,-0.0015218877305499833,-0.0009262530495431581,-0.02305141613098452
-0.000992092987875535,0.001437189991579939,0.023054112627718087,0.000992092987875535,-0.001437189991579939,-0.023054112627718087
-0.00032725239969467063,0.0015747001827449852,0.02306415179063295,0.00032725239969467063,-0.0015747001827449852,-0.02306415179063295
0.0014215016885231067,0.0003619406679343306,0.023073582394643907,-0.0014215016885231067,-0.0003619406679343306,-0.023073582394643907
-0.0005166188451798598,-0.0020010115039799346,0.023027612350170937,0.0005166188451798598,0.0020010115039799346,-0.023027612350170937
-0.0013980748236071844,0.00040619851005784235,0.023074277067289074,0.0013980748236071844,-0.00040619851005784235,-0.023074277067289074
0.001364539679084794,-0.0008361269194722866,0.023064708883025965,-0.001364539679084794,0.0008361269194722866,-0.023064708883025965
0.0017698740063870266,0.00037587351311679096,0.023049254602343493,-0.0017698740063870266,-0.00037587351311679096,-0.023049254602343493
-0.0015370353485475267,6.010270420820264e-05,0.023068935446228598,0.0015370353485475267,-6.010270420820264e-05,-0.023068935446228598
-0.0017144798036701128,-0.0008716976037674761,0.023040021156899865,0.0017144798036701128,0.0008716976037674761,-0.023040021156899865
-0.0013613420984861732,0.0012269049449804008,0.023047414704622987,0.0013613420984861732,-0.0012269049449804008,-0.023047414704622987
-0.0016109343164479827,-0.0010506303700029062,0.023040029059741174,0.0016109343164479827,0.0010506303700029062,-0.023040029059741174
-0.0015635429720154358,0.0005137367991414146,0.023061510802544333,0.0015635429720154358,-0.0005137367991414146,-0.023061510802544333
0.0008601810893137189,-0.0013411433438196823,0.023065196631395,-0.0008601810893137189,0.0013411433438196823,-0.023065196631395
0.00044792605015304596,-0.002057687503796696,0.02302405605036422,-0.00044792605015304596,0.002057687503796696,-0.02302405605036422
-0.001740289458670103,-0.0006329855052287397,0.023045880208189318,0.001740289458670103,0.0006329855052287397,-0.023045880208189318
-0.0016945921618924606,0.0001288224362657688,0.0230576155489844,0.0016945921618924606,-0.0001288224362657688,-0.0230576155489844
-8.742471263125707e-05,0.0018852176276194438,0.023043007269801706,8.742471263125707e-05,-0.0018852176276194438,-0.023043007269801706
-0.0018891288888940442,-0.0007371826359986312,0.023031057865897694,0.0018891288888940442,0.0007371826359986312,-0.023031057865897694
0.0014620723886097752,0.001569642236205005,0.023020435273921,-0.0014620723886097752,-0.001569642236205005,-0.023020435273921
0.0004919982599982854,0.0017290115203403668,0.023050169836569295,-0.0004919982599982854,-0.0017290115203403668,-0.023050169836569295
-0.0016840352800049224,0.0011139312437510132,0.023031827000476842,0.0016840352800049224,-0.0011139312437510132,-0.023031827000476842
0.0002446000977785856,0.00161577644552143,0.023062335308685997,-0.0002446000977785856,-0.00161577644552143,-0.023062335308685997
-0.0009472543273180251,0.001222519666798901,0.02306837721912114,0.0009472543273180251,-0.001222519666798901,-0.02306837721912114
